Date,Tipo
Ene 1990,2.6750
Feb 1990,2.7030
Mar 1990,2.7330
Abr 1990,2.7640
May 1990,2.7946
Jun 1990,2.8178
Jul 1990,2.8434
Ago 1990,2.8682
Sep 1990,2.8906
Oct 1990,2.9170
Nov 1990,2.9342
Dic 1990,2.9454
Ene 1991,2.9590
Feb 1991,2.9702
Mar 1991,2.9810
Abr 1991,2.9946
May 1991,3.0070
Jun 1991,3.0182
Jul 1991,3.0314
Ago 1991,3.0434
Sep 1991,3.0558
Oct 1991,3.0682
Nov 1991,3.0731
Dic 1991,3.0710
Ene 1992,3.0660
Feb 1992,3.0608
Mar 1992,3.0835
Abr 1992,3.0790
May 1992,3.1134
Jun 1992,3.1225
Jul 1992,3.1141
Ago 1992,3.0810
Sep 1992,3.1161
Oct 1992,3.1321
Nov 1992,3.1159
Dic 1992,3.1154
Ene 1993,3.0939
Feb 1993,3.0938
Mar 1993,3.0976
Abr 1993,3.1022
May 1993,3.1227
Jun 1993,3.1212
Jul 1993,3.1189
Ago 1993,3.1145
Sep 1993,3.1178
Oct 1993,3.1176
Nov 1993,3.1125
Dic 1993,3.1059
Ene 1994,3.1063
Feb 1994,3.2075
Mar 1994,3.3598
Abr 1994,3.2673
May 1994,3.3145
Jun 1994,3.3918
Jul 1994,3.4019
Ago 1994,3.3794
Sep 1994,3.4040
Oct 1994,3.4300
Nov 1994,3.4498
Dic 1994,5.3250
Ene 1995,5.6950
Feb 1995,5.8375
Mar 1995,6.8175
Abr 1995,5.7850
May 1995,6.1775
Jun 1995,6.3092
Jul 1995,6.0882
Ago 1995,6.3114
Sep 1995,6.4195
Oct 1995,7.1717
Nov 1995,7.6517
Dic 1995,7.6425
Ene 1996,7.3908
Feb 1996,7.5390
Mar 1996,7.5479
Abr 1996,7.4042
May 1996,7.4095
Jun 1996,7.6108
Jul 1996,7.6135
Ago 1996,7.4930
Sep 1996,7.5374
Oct 1996,7.9172
Nov 1996,7.8700
Dic 1996,7.8509
Ene 1997,7.8393
Feb 1997,7.7844
Mar 1997,7.8905
Abr 1997,7.9267
May 1997,7.9085
Jun 1997,7.9504
Jul 1997,7.8248
Ago 1997,7.7853
Sep 1997,7.7707
Oct 1997,8.3683
Nov 1997,8.2135
Dic 1997,8.0681
Ene 1998,8.3603
Feb 1998,8.5832
Mar 1998,8.5165
Abr 1998,8.4818
May 1998,8.8802
Jun 1998,9.0407
Jul 1998,8.9178
Ago 1998,9.9600
Sep 1998,10.1062
Oct 1998,10.1575
Nov 1998,9.9404
Dic 1998,9.8650
Ene 1999,10.1745
Feb 1999,9.9357
Mar 1999,9.5158
Abr 1999,9.2871
May 1999,9.7498
Jun 1999,9.4875
Jul 1999,9.3827
Ago 1999,9.3819
Sep 1999,9.3582
Oct 1999,9.6504
Nov 1999,9.3550
Dic 1999,9.5143
Ene 2000,9.6253
Feb 2000,9.3662
Mar 2000,9.2845
Abr 2000,9.4127
May 2000,9.5110
Jun 2000,9.8243
Jul 2000,9.3667
Ago 2000,9.1995
Sep 2000,9.4459
Oct 2000,9.5642
Nov 2000,9.4155
Dic 2000,9.6098
Ene 2001,9.6828
Feb 2001,9.7025
Mar 2001,9.4933
Abr 2001,9.2537
May 2001,9.1835
Jun 2001,9.0708
Jul 2001,9.1408
Ago 2001,9.2000
Sep 2001,9.5098
Oct 2001,9.2542
Nov 2001,9.2681
Dic 2001,9.1695
Ene 2002,9.1463
Feb 2002,9.1303
Mar 2002,9.0160
Abr 2002,9.3720
May 2002,9.6562
Jun 2002,9.9568
Jul 2002,9.7861
Ago 2002,9.9109
Sep 2002,10.2299
Oct 2002,10.1552
Nov 2002,10.1465
Dic 2002,10.4393
Ene 2003,10.9069
Feb 2003,11.0324
Mar 2003,10.7889
Abr 2003,10.3000
May 2003,10.3377
Jun 2003,10.4370
Jul 2003,10.5243
Ago 2003,11.0475
Sep 2003,11.0133
Oct 2003,11.0525
Nov 2003,11.3985
Dic 2003,11.2372
Ene 2004,11.0214
Feb 2004,11.0606
Mar 2004,11.1748
Abr 2004,11.4093
May 2004,11.4147
Jun 2004,11.5258
Jul 2004,11.4079
Ago 2004,11.3807
Sep 2004,11.3884
Oct 2004,11.5390
Nov 2004,11.2373
Dic 2004,11.1495
Ene 2005,11.2141
Feb 2005,11.0965
Mar 2005,11.1783
Abr 2005,11.0832
May 2005,10.9160
Jun 2005,10.7752
Jul 2005,10.6057
Ago 2005,10.7995
Sep 2005,10.7907
Oct 2005,10.7857
Nov 2005,10.5793
Dic 2005,10.6344
Ene 2006,10.4433
Feb 2006,10.4560
Mar 2006,10.8935
Abr 2006,11.0903
May 2006,11.2966
Jun 2006,11.2723
Jul 2006,10.9181
Ago 2006,10.9037
Sep 2006,10.9935
Oct 2006,10.7640
Nov 2006,10.9975
Dic 2006,10.8116
Ene 2007,11.0382
Feb 2007,11.1682
Mar 2007,11.0322
Abr 2007,10.9278
May 2007,10.7445
Jun 2007,10.7946
Jul 2007,10.9273
Ago 2007,11.0378
Sep 2007,10.9315
Oct 2007,10.7023
Nov 2007,10.8968
Dic 2007,10.9157
Ene 2008,10.8262
Feb 2008,10.7243
Mar 2008,10.6482
Abr 2008,10.5095
May 2008,10.3306
Jun 2008,10.3069
Jul 2008,10.0353
Ago 2008,10.2847
Sep 2008,10.9814
Oct 2008,12.7125
Nov 2008,13.3225
Dic 2008,13.8325
Ene 2009,14.3097
Feb 2009,15.0698
Mar 2009,14.1517
Abr 2009,13.8443
May 2009,13.1667
Jun 2009,13.1722
Jul 2009,13.2125
Ago 2009,13.3140
Sep 2009,13.4928
Oct 2009,13.1479
Nov 2009,12.9157
Dic 2009,13.0659
Ene 2010,13.0098
Feb 2010,12.7769
Mar 2010,12.3306
Abr 2010,12.2626
May 2010,12.9146
Jun 2010,12.8441
Jul 2010,12.6455
Ago 2010,13.1676
Sep 2010,12.5998
Oct 2010,12.3387
Nov 2010,12.4664
Dic 2010,12.3496
Ene 2011,12.1519
Feb 2011,12.1062
Mar 2011,11.9084
Abr 2011,11.5278
May 2011,11.5780
Jun 2011,11.7230
Jul 2011,11.7425
Ago 2011,12.3480
Sep 2011,13.7994
Oct 2011,13.1802
Nov 2011,13.6100
Dic 2011,13.9476
Ene 2012,13.0077
Feb 2012,12.7891
Mar 2012,12.8093
Abr 2012,12.9942
May 2012,14.3047
Jun 2012,13.4084
Jul 2012,13.2833
Ago 2012,13.2571
Sep 2012,12.8695
Oct 2012,13.0911
Nov 2012,12.9268
Dic 2012,12.9658
Ene 2013,12.7094
Feb 2013,12.7795
Mar 2013,12.3612
Abr 2013,12.1456
May 2013,12.8035
Jun 2013,13.0279
Jul 2013,12.8464
Ago 2013,13.3415
Sep 2013,13.1747
Oct 2013,13.0067
Nov 2013,13.1101
Dic 2013,13.0843
Ene 2014,13.3769
Feb 2014,13.2379
Mar 2014,13.0549
Abr 2014,13.0901
May 2014,12.8609
Jun 2014,12.9712
Jul 2014,13.2269
Ago 2014,13.0763
Sep 2014,13.4330
Oct 2014,13.4773
Nov 2014,13.8965
Dic 2014,14.7414
Ene 2015,14.9885
Feb 2015,14.9553
Mar 2015,15.2647
Abr 2015,15.3714
May 2015,15.3815
Jun 2015,15.6854
Jul 2015,16.0772
Ago 2015,16.7829
Sep 2015,16.9053
Oct 2015,16.5244
Nov 2015,16.5856
Dic 2015,17.2487
Ene 2016,18.1935
Feb 2016,18.1020
Mar 2016,17.2370
Abr 2016,17.1767
May 2016,18.4118
Jun 2016,18.4646
Jul 2016,18.7837
Ago 2016,18.8611
Sep 2016,19.3776
Oct 2016,18.8887
Nov 2016,20.5155
Dic 2016,20.6194
