Date,US_GCE
1950Q1,36.50
1950Q2,36.70
1950Q3,35.60
1950Q4,38.80
1951Q1,44.30
1951Q2,48.60
1951Q3,53.50
1951Q4,55.30
1952Q1,57.20
1952Q2,61.00
1952Q3,62.30
1952Q4,64.40
1953Q1,65.70
1953Q2,67.10
1953Q3,66.00
1953Q4,67.20
1954Q1,64.70
1954Q2,63.00
1954Q3,63.10
1954Q4,63.60
1955Q1,64.40
1955Q2,64.00
1955Q3,66.90
1955Q4,66.50
1956Q1,66.50
1956Q2,69.20
1956Q3,67.70
1956Q4,70.60
1957Q1,73.90
1957Q2,74.50
1957Q3,75.30
1957Q4,77.50
1958Q1,76.70
1958Q2,80.10
1958Q3,79.60
1958Q4,81.50
1959Q1,78.20
1959Q2,80.70
1959Q3,81.60
1959Q4,82.20
1960Q1,80.60
1960Q2,82.00
1960Q3,84.40
1960Q4,86.20
1961Q1,85.30
1961Q2,87.60
1961Q3,89.00
1961Q4,90.80
1962Q1,94.10
1962Q2,95.60
1962Q3,98.00
1962Q4,99.40
1963Q1,100.20
1963Q2,100.60
1963Q3,104.10
1963Q4,106.00
1964Q1,107.10
1964Q2,108.20
1964Q3,109.60
1964Q4,109.30
1965Q1,110.60
1965Q2,112.60
1965Q3,117.50
1965Q4,122.80
1966Q1,124.90
1966Q2,129.70
1966Q3,135.20
1966Q4,137.60
1967Q1,145.10
1967Q2,147.50
1967Q3,150.60
1967Q4,155.10
1968Q1,161.00
1968Q2,163.60
1968Q3,167.10
1968Q4,170.90
1969Q1,171.20
1969Q2,176.00
1969Q3,181.30
1969Q4,184.20
1970Q1,187.00
1970Q2,187.90
1970Q3,191.40
1970Q4,194.00
1971Q1,199.90
1971Q2,203.50
1971Q3,206.30
1971Q4,209.00
1972Q1,217.20
1972Q2,221.00
1972Q3,220.50
1972Q4,224.20
1973Q1,229.20
1973Q2,233.30
1973Q3,235.50
1973Q4,241.30
1974Q1,250.00
1974Q2,255.50
1974Q3,265.30
1974Q4,276.10
1975Q1,283.60
1975Q2,291.70
1975Q3,298.10
1975Q4,305.00
1976Q1,308.60
1976Q2,314.30
1976Q3,317.50
1976Q4,326.00
1977Q1,334.50
1977Q2,342.70
1977Q3,349.70
1977Q4,359.30
1978Q1,365.50
1978Q2,372.70
1978Q3,379.30
1978Q4,388.60
1979Q1,398.60
1979Q2,407.10
1979Q3,413.50
1979Q4,429.90
1980Q1,445.00
1980Q2,462.90
1980Q3,469.60
1980Q4,486.00
1981Q1,502.50
1981Q2,516.90
1981Q3,523.10
1981Q4,539.70
1982Q1,551.80
1982Q2,559.00
1982Q3,572.40
1982Q4,589.40
1983Q1,598.90
1983Q2,609.40
1983Q3,622.20
1983Q4,611.70
1984Q1,634.20
1984Q2,654.20
1984Q3,664.50
1984Q4,677.30
1985Q1,696.50
1985Q2,710.40
1985Q3,728.80
1985Q4,744.60
1986Q1,753.80
1986Q2,770.30
1986Q3,786.30
1986Q4,794.00
1987Q1,803.50
1987Q2,810.90
1987Q3,814.60
1987Q4,831.40
1988Q1,840.30
1988Q2,846.70
1988Q3,850.50
1988Q4,873.40
1989Q1,879.50
1989Q2,900.00
1989Q3,910.00
1989Q4,922.30
1990Q1,946.20
1990Q2,957.60
1990Q3,967.20
1990Q4,992.90
1991Q1,"1,011.70"
1991Q2,"1,001.40"
1991Q3,"1,006.80"
1991Q4,"1,011.50"
1992Q1,"1,026.60"
1992Q2,"1,040.90"
1992Q3,"1,061.10"
1992Q4,"1,068.30"
1993Q1,"1,063.00"
1993Q2,"1,067.50"
1993Q3,"1,079.20"
1993Q4,"1,087.00"
1994Q1,"1,090.70"
1994Q2,"1,102.00"
1994Q3,"1,122.00"
1994Q4,"1,123.50"
1995Q1,"1,134.50"
1995Q2,"1,145.60"
1995Q3,"1,150.70"
1995Q4,"1,147.20"
1996Q1,"1,158.20"
1996Q2,"1,174.60"
1996Q3,"1,178.80"
1996Q4,"1,194.40"
1997Q1,"1,201.80"
1997Q2,"1,222.20"
1997Q3,"1,228.50"
1997Q4,"1,246.00"
1998Q1,"1,242.00"
1998Q2,"1,267.60"
1998Q3,"1,276.80"
1998Q4,"1,302.00"
1999Q1,"1,319.70"
1999Q2,"1,339.40"
1999Q3,"1,369.70"
1999Q4,"1,401.40"
2000Q1,"1,407.40"
2000Q2,"1,442.90"
2000Q3,"1,453.40"
2000Q4,"1,473.00"
2001Q1,"1,510.20"
2001Q2,"1,536.90"
2001Q3,"1,558.70"
2001Q4,"1,574.60"
2002Q1,"1,614.00"
2002Q2,"1,641.10"
2002Q3,"1,659.80"
2002Q4,"1,690.60"
2003Q1,"1,722.60"
2003Q2,"1,755.90"
2003Q3,"1,759.00"
2003Q4,"1,784.90"
2004Q1,"1,827.80"
2004Q2,"1,856.00"
2004Q3,"1,887.30"
2004Q4,"1,904.60"
2005Q1,"1,944.00"
2005Q2,"1,960.10"
2005Q3,"2,002.20"
2005Q4,"2,013.80"
2006Q1,"2,057.90"
2006Q2,"2,077.00"
2006Q3,"2,099.60"
2006Q4,"2,124.90"
2007Q1,"2,160.00"
2007Q2,"2,191.80"
2007Q3,"2,227.00"
2007Q4,"2,259.90"
2008Q1,"2,312.50"
2008Q2,"2,350.70"
2008Q3,"2,410.10"
2008Q4,"2,401.10"
2009Q1,"2,392.70"
2009Q2,"2,434.60"
2009Q3,"2,461.10"
2009Q4,"2,479.90"
2010Q1,"2,500.30"
2010Q2,"2,526.10"
2010Q3,"2,534.20"
2010Q4,"2,528.20"
2011Q1,"2,516.10"
2011Q2,"2,544.80"
2011Q3,"2,539.40"
2011Q4,"2,523.10"
2012Q1,"2,548.00"
2012Q2,"2,536.80"
2012Q3,"2,546.70"
2012Q4,"2,545.10"
2013Q1,"2,529.30"
2013Q2,"2,523.20"
2013Q3,"2,517.40"
2013Q4,"2,524.90"
2014Q1,"2,540.40"
2014Q2,"2,543.90"
2014Q3,"2,577.80"
2014Q4,"2,568.20"
2015Q1,"2,575.80"
2015Q2,"2,600.10"
2015Q3,"2,617.20"
2015Q4,"2,626.60"
2016Q1,"2,623.00"
2016Q2,"2,643.80"
