DATE,AHETPI
1964-01-01,2.50
1964-02-01,2.50
1964-03-01,2.50
1964-04-01,2.52
1964-05-01,2.52
1964-06-01,2.53
1964-07-01,2.53
1964-08-01,2.55
1964-09-01,2.55
1964-10-01,2.55
1964-11-01,2.56
1964-12-01,2.58
1965-01-01,2.58
1965-02-01,2.59
1965-03-01,2.60
1965-04-01,2.60
1965-05-01,2.62
1965-06-01,2.62
1965-07-01,2.63
1965-08-01,2.64
1965-09-01,2.65
1965-10-01,2.66
1965-11-01,2.67
1965-12-01,2.68
1966-01-01,2.68
1966-02-01,2.69
1966-03-01,2.70
1966-04-01,2.71
1966-05-01,2.72
1966-06-01,2.72
1966-07-01,2.74
1966-08-01,2.75
1966-09-01,2.76
1966-10-01,2.77
1966-11-01,2.78
1966-12-01,2.78
1967-01-01,2.79
1967-02-01,2.81
1967-03-01,2.81
1967-04-01,2.82
1967-05-01,2.83
1967-06-01,2.84
1967-07-01,2.86
1967-08-01,2.87
1967-09-01,2.88
1967-10-01,2.89
1967-11-01,2.91
1967-12-01,2.92
1968-01-01,2.94
1968-02-01,2.95
1968-03-01,2.97
1968-04-01,2.98
1968-05-01,3.00
1968-06-01,3.01
1968-07-01,3.03
1968-08-01,3.03
1968-09-01,3.06
1968-10-01,3.07
1968-11-01,3.09
1968-12-01,3.11
1969-01-01,3.12
1969-02-01,3.14
1969-03-01,3.15
1969-04-01,3.17
1969-05-01,3.19
1969-06-01,3.20
1969-07-01,3.22
1969-08-01,3.24
1969-09-01,3.26
1969-10-01,3.28
1969-11-01,3.29
1969-12-01,3.30
1970-01-01,3.31
1970-02-01,3.33
1970-03-01,3.35
1970-04-01,3.36
1970-05-01,3.38
1970-06-01,3.39
1970-07-01,3.41
1970-08-01,3.43
1970-09-01,3.45
1970-10-01,3.46
1970-11-01,3.47
1970-12-01,3.50
1971-01-01,3.52
1971-02-01,3.54
1971-03-01,3.56
1971-04-01,3.57
1971-05-01,3.60
1971-06-01,3.62
1971-07-01,3.63
1971-08-01,3.66
1971-09-01,3.67
1971-10-01,3.68
1971-11-01,3.69
1971-12-01,3.73
1972-01-01,3.80
1972-02-01,3.82
1972-03-01,3.84
1972-04-01,3.86
1972-05-01,3.87
1972-06-01,3.88
1972-07-01,3.90
1972-08-01,3.92
1972-09-01,3.94
1972-10-01,3.97
1972-11-01,3.98
1972-12-01,4.01
1973-01-01,4.03
1973-02-01,4.04
1973-03-01,4.06
1973-04-01,4.08
1973-05-01,4.10
1973-06-01,4.12
1973-07-01,4.15
1973-08-01,4.16
1973-09-01,4.19
1973-10-01,4.21
1973-11-01,4.23
1973-12-01,4.25
1974-01-01,4.26
1974-02-01,4.29
1974-03-01,4.31
1974-04-01,4.34
1974-05-01,4.39
1974-06-01,4.43
1974-07-01,4.45
1974-08-01,4.49
1974-09-01,4.53
1974-10-01,4.56
1974-11-01,4.57
1974-12-01,4.61
1975-01-01,4.61
1975-02-01,4.63
1975-03-01,4.66
1975-04-01,4.66
1975-05-01,4.68
1975-06-01,4.72
1975-07-01,4.73
1975-08-01,4.77
1975-09-01,4.79
1975-10-01,4.81
1975-11-01,4.85
1975-12-01,4.87
1976-01-01,4.90
1976-02-01,4.94
1976-03-01,4.96
1976-04-01,4.98
1976-05-01,5.02
1976-06-01,5.04
1976-07-01,5.07
1976-08-01,5.12
1976-09-01,5.15
1976-10-01,5.17
1976-11-01,5.21
1976-12-01,5.23
1977-01-01,5.26
1977-02-01,5.30
1977-03-01,5.33
1977-04-01,5.37
1977-05-01,5.40
1977-06-01,5.43
1977-07-01,5.46
1977-08-01,5.48
1977-09-01,5.51
1977-10-01,5.56
1977-11-01,5.59
1977-12-01,5.61
1978-01-01,5.66
1978-02-01,5.69
1978-03-01,5.73
1978-04-01,5.79
1978-05-01,5.82
1978-06-01,5.87
1978-07-01,5.90
1978-08-01,5.93
1978-09-01,5.97
1978-10-01,6.03
1978-11-01,6.06
1978-12-01,6.10
1979-01-01,6.14
1979-02-01,6.18
1979-03-01,6.22
1979-04-01,6.22
1979-05-01,6.28
1979-06-01,6.32
1979-07-01,6.36
1979-08-01,6.40
1979-09-01,6.45
1979-10-01,6.47
1979-11-01,6.51
1979-12-01,6.57
1980-01-01,6.57
1980-02-01,6.63
1980-03-01,6.70
1980-04-01,6.72
1980-05-01,6.76
1980-06-01,6.82
1980-07-01,6.86
1980-08-01,6.91
1980-09-01,6.95
1980-10-01,7.02
1980-11-01,7.09
1980-12-01,7.13
1981-01-01,7.19
1981-02-01,7.23
1981-03-01,7.29
1981-04-01,7.33
1981-05-01,7.37
1981-06-01,7.42
1981-07-01,7.46
1981-08-01,7.53
1981-09-01,7.57
1981-10-01,7.59
1981-11-01,7.64
1981-12-01,7.64
1982-01-01,7.72
1982-02-01,7.73
1982-03-01,7.76
1982-04-01,7.77
1982-05-01,7.83
1982-06-01,7.85
1982-07-01,7.89
1982-08-01,7.94
1982-09-01,7.94
1982-10-01,7.96
1982-11-01,7.98
1982-12-01,8.02
1983-01-01,8.06
1983-02-01,8.10
1983-03-01,8.10
1983-04-01,8.13
1983-05-01,8.17
1983-06-01,8.19
1983-07-01,8.23
1983-08-01,8.20
1983-09-01,8.26
1983-10-01,8.31
1983-11-01,8.32
1983-12-01,8.33
1984-01-01,8.38
1984-02-01,8.37
1984-03-01,8.41
1984-04-01,8.45
1984-05-01,8.44
1984-06-01,8.48
1984-07-01,8.52
1984-08-01,8.52
1984-09-01,8.56
1984-10-01,8.55
1984-11-01,8.57
1984-12-01,8.61
1985-01-01,8.61
1985-02-01,8.64
1985-03-01,8.67
1985-04-01,8.69
1985-05-01,8.70
1985-06-01,8.74
1985-07-01,8.74
1985-08-01,8.77
1985-09-01,8.80
1985-10-01,8.79
1985-11-01,8.82
1985-12-01,8.87
1986-01-01,8.85
1986-02-01,8.88
1986-03-01,8.89
1986-04-01,8.89
1986-05-01,8.90
1986-06-01,8.91
1986-07-01,8.92
1986-08-01,8.94
1986-09-01,8.94
1986-10-01,8.96
1986-11-01,9.00
1986-12-01,9.01
1987-01-01,9.02
1987-02-01,9.05
1987-03-01,9.07
1987-04-01,9.08
1987-05-01,9.11
1987-06-01,9.11
1987-07-01,9.12
1987-08-01,9.18
1987-09-01,9.19
1987-10-01,9.22
1987-11-01,9.27
1987-12-01,9.28
1988-01-01,9.29
1988-02-01,9.29
1988-03-01,9.31
1988-04-01,9.36
1988-05-01,9.41
1988-06-01,9.42
1988-07-01,9.45
1988-08-01,9.46
1988-09-01,9.51
1988-10-01,9.56
1988-11-01,9.58
1988-12-01,9.60
1989-01-01,9.65
1989-02-01,9.68
1989-03-01,9.70
1989-04-01,9.75
1989-05-01,9.73
1989-06-01,9.77
1989-07-01,9.82
1989-08-01,9.83
1989-09-01,9.87
1989-10-01,9.93
1989-11-01,9.93
1989-12-01,9.98
1990-01-01,10.02
1990-02-01,10.07
1990-03-01,10.11
1990-04-01,10.12
1990-05-01,10.16
1990-06-01,10.20
1990-07-01,10.22
1990-08-01,10.24
1990-09-01,10.28
1990-10-01,10.30
1990-11-01,10.32
1990-12-01,10.35
1991-01-01,10.38
1991-02-01,10.39
1991-03-01,10.41
1991-04-01,10.46
1991-05-01,10.49
1991-06-01,10.51
1991-07-01,10.54
1991-08-01,10.56
1991-09-01,10.58
1991-10-01,10.59
1991-11-01,10.61
1991-12-01,10.64
1992-01-01,10.65
1992-02-01,10.67
1992-03-01,10.70
1992-04-01,10.72
1992-05-01,10.74
1992-06-01,10.77
1992-07-01,10.79
1992-08-01,10.82
1992-09-01,10.82
1992-10-01,10.85
1992-11-01,10.87
1992-12-01,10.89
1993-01-01,10.93
1993-02-01,10.94
1993-03-01,10.99
1993-04-01,10.99
1993-05-01,11.02
1993-06-01,11.03
1993-07-01,11.05
1993-08-01,11.08
1993-09-01,11.10
1993-10-01,11.13
1993-11-01,11.15
1993-12-01,11.18
1994-01-01,11.21
1994-02-01,11.25
1994-03-01,11.25
1994-04-01,11.27
1994-05-01,11.29
1994-06-01,11.31
1994-07-01,11.34
1994-08-01,11.36
1994-09-01,11.39
1994-10-01,11.42
1994-11-01,11.45
1994-12-01,11.47
1995-01-01,11.49
1995-02-01,11.52
1995-03-01,11.55
1995-04-01,11.56
1995-05-01,11.59
1995-06-01,11.63
1995-07-01,11.67
1995-08-01,11.69
1995-09-01,11.73
1995-10-01,11.75
1995-11-01,11.78
1995-12-01,11.81
1996-01-01,11.87
1996-02-01,11.87
1996-03-01,11.89
1996-04-01,11.95
1996-05-01,11.98
1996-06-01,12.03
1996-07-01,12.06
1996-08-01,12.09
1996-09-01,12.14
1996-10-01,12.16
1996-11-01,12.21
1996-12-01,12.25
1997-01-01,12.29
1997-02-01,12.32
1997-03-01,12.37
1997-04-01,12.39
1997-05-01,12.43
1997-06-01,12.46
1997-07-01,12.50
1997-08-01,12.57
1997-09-01,12.60
1997-10-01,12.67
1997-11-01,12.72
1997-12-01,12.75
1998-01-01,12.79
1998-02-01,12.84
1998-03-01,12.88
1998-04-01,12.92
1998-05-01,12.97
1998-06-01,12.99
1998-07-01,13.01
1998-08-01,13.08
1998-09-01,13.11
1998-10-01,13.15
1998-11-01,13.17
1998-12-01,13.21
1999-01-01,13.27
1999-02-01,13.30
1999-03-01,13.33
1999-04-01,13.38
1999-05-01,13.43
1999-06-01,13.47
1999-07-01,13.52
1999-08-01,13.54
1999-09-01,13.61
1999-10-01,13.64
1999-11-01,13.66
1999-12-01,13.70
2000-01-01,13.75
2000-02-01,13.80
2000-03-01,13.84
2000-04-01,13.90
2000-05-01,13.94
2000-06-01,13.98
2000-07-01,14.03
2000-08-01,14.07
2000-09-01,14.13
2000-10-01,14.18
2000-11-01,14.23
2000-12-01,14.28
2001-01-01,14.29
2001-02-01,14.36
2001-03-01,14.42
2001-04-01,14.45
2001-05-01,14.50
2001-06-01,14.55
2001-07-01,14.55
2001-08-01,14.60
2001-09-01,14.64
2001-10-01,14.66
2001-11-01,14.72
2001-12-01,14.75
2002-01-01,14.76
2002-02-01,14.79
2002-03-01,14.82
2002-04-01,14.84
2002-05-01,14.88
2002-06-01,14.94
2002-07-01,14.98
2002-08-01,15.02
2002-09-01,15.06
2002-10-01,15.12
2002-11-01,15.15
2002-12-01,15.21
2003-01-01,15.22
2003-02-01,15.29
2003-03-01,15.29
2003-04-01,15.27
2003-05-01,15.33
2003-06-01,15.36
2003-07-01,15.40
2003-08-01,15.42
2003-09-01,15.41
2003-10-01,15.42
2003-11-01,15.47
2003-12-01,15.47
2004-01-01,15.50
2004-02-01,15.54
2004-03-01,15.56
2004-04-01,15.59
2004-05-01,15.64
2004-06-01,15.67
2004-07-01,15.70
2004-08-01,15.74
2004-09-01,15.77
2004-10-01,15.81
2004-11-01,15.84
2004-12-01,15.87
2005-01-01,15.90
2005-02-01,15.93
2005-03-01,15.97
2005-04-01,16.01
2005-05-01,16.04
2005-06-01,16.08
2005-07-01,16.15
2005-08-01,16.17
2005-09-01,16.19
2005-10-01,16.29
2005-11-01,16.30
2005-12-01,16.36
2006-01-01,16.42
2006-02-01,16.48
2006-03-01,16.54
2006-04-01,16.64
2006-05-01,16.65
2006-06-01,16.72
2006-07-01,16.78
2006-08-01,16.83
2006-09-01,16.87
2006-10-01,16.93
2006-11-01,16.98
2006-12-01,17.05
2007-01-01,17.09
2007-02-01,17.15
2007-03-01,17.22
2007-04-01,17.28
2007-05-01,17.33
2007-06-01,17.41
2007-07-01,17.46
2007-08-01,17.50
2007-09-01,17.56
2007-10-01,17.57
2007-11-01,17.64
2007-12-01,17.69
2008-01-01,17.74
2008-02-01,17.80
2008-03-01,17.87
2008-04-01,17.91
2008-05-01,17.98
2008-06-01,18.04
2008-07-01,18.11
2008-08-01,18.18
2008-09-01,18.21
2008-10-01,18.26
2008-11-01,18.31
2008-12-01,18.38
2009-01-01,18.40
2009-02-01,18.45
2009-03-01,18.49
2009-04-01,18.51
2009-05-01,18.53
2009-06-01,18.56
2009-07-01,18.61
2009-08-01,18.66
2009-09-01,18.71
2009-10-01,18.75
2009-11-01,18.80
2009-12-01,18.84
2010-01-01,18.89
2010-02-01,18.91
2010-03-01,18.92
2010-04-01,18.95
2010-05-01,19.00
2010-06-01,19.03
2010-07-01,19.06
2010-08-01,19.10
2010-09-01,19.12
2010-10-01,19.22
2010-11-01,19.22
2010-12-01,19.22
2011-01-01,19.30
2011-02-01,19.31
2011-03-01,19.31
2011-04-01,19.36
2011-05-01,19.40
2011-06-01,19.42
2011-07-01,19.49
2011-08-01,19.49
2011-09-01,19.51
2011-10-01,19.56
2011-11-01,19.56
2011-12-01,19.57
2012-01-01,19.56
2012-02-01,19.59
2012-03-01,19.65
2012-04-01,19.68
2012-05-01,19.68
2012-06-01,19.72
2012-07-01,19.75
2012-08-01,19.74
2012-09-01,19.78
2012-10-01,19.81
2012-11-01,19.85
2012-12-01,19.90
2013-01-01,19.94
2013-02-01,19.99
2013-03-01,20.02
2013-04-01,20.04
2013-05-01,20.06
2013-06-01,20.13
2013-07-01,20.14
2013-08-01,20.18
2013-09-01,20.22
2013-10-01,20.26
2013-11-01,20.31
2013-12-01,20.35
2014-01-01,20.40
2014-02-01,20.50
2014-03-01,20.49
2014-04-01,20.52
2014-05-01,20.55
2014-06-01,20.59
2014-07-01,20.63
2014-08-01,20.67
2014-09-01,20.68
2014-10-01,20.71
2014-11-01,20.76
2014-12-01,20.73
2015-01-01,20.81
2015-02-01,20.83
2015-03-01,20.89
2015-04-01,20.93
2015-05-01,20.99
2015-06-01,21.00
2015-07-01,21.05
2015-08-01,21.11
2015-09-01,21.12
2015-10-01,21.21
2015-11-01,21.23
2015-12-01,21.26
2016-01-01,21.33
2016-02-01,21.35
2016-03-01,21.40
2016-04-01,21.46
2016-05-01,21.48
2016-06-01,21.52
2016-07-01,21.59
2016-08-01,21.62
2016-09-01,21.68
2016-10-01,21.72
